name,specialty,address,phone
SPITALUL MUNICIPAL AIUD,INVESTIGATII PARACLINICE-ANALIZE DE LABORATOR,"AIUD, STR.SPITALULUI, NR.2",258861339
SPITALUL MUNICIPAL BLAJ,INVESTIGATII PARACLINICE-ANALIZE DE LABORATOR,"BLAJ, STR. ANDREI MURESANU, NR.16",258710941
SC ANALIMED SRL,INVESTIGATII PARACLINICE-ANALIZE DE LABORATOR,"BLAJ, STR. TIMOTEI CIPARIU, NR. 13",258713131
SC ITAL MEDICAL SRL,LABORATOR INVESTIGATII PARACLINICE- ANALIZE DE LABORATOR,"ALBA IULIA, STR. HOREA, NR. 52",258772974
SPITALUL JUDETEAN DE URGENTA ALBA,"INVESTIGATII PARACLINICE-ANALIZE DE LABORATOR, ANATOMIE PATOLOGICA","ALBA IULIA, STR B-DUL REVOLUTIEI,NR.23",258820825
SC SAGA SRL,INVESTIGATII PARACLINICE-ANALIZE DE LABORATOR,"ALBA IULIA, STR.MARASESTI ,NR.22A",258811603
SC TERRA MED LABORATOR SRL,INVESTIGATII PARACLINICE-ANALIZE DE LABORATOR,"ALBA IULIA, STR. B-DUL REVOLUTIEI 1989, NR.15, BL.2AB, AP.2",258833925
SC TERRA ASTER SRL,INVESTIGATII PARACLINICE-ANALIZE DE LABORATOR,"ALBA IULIA, STR. CALEA MOTILOR, NR. 17A",258833408
SC MEDISOL SRL,INVESTIGATII PARACLINICE-ANALIZE DE LABORATOR,"ALBA IULIA, STR.ARIESULUI, NR.66, BL.256, AP.3",358104546
SC ITAL MED SRL,INVESTIGATII PARACLINICE-ANALIZE DE LABORATOR,"ALBA IULIA, STR.FERDINAND , NR.14",358111361
SPITALUL MUNICIPAL SEBES,INVESTIGATII PARACLINICE-ANALIZE DE LABORATOR,"SEBEȘ, STR.SURIANU, NR.41",258731712
SC CDT SEBES SRL,INVESTIGATII PARACLINICE-ANALIZE DE LABORATOR,"SEBEȘ, STR.SURIANU,NR.6",258733673
SC ROMGER DIAGNOSTICA SRL,INVESTIGATII PARACLINICE-ANALIZE DE LABORATOR,"SEBEȘ, STR VIILOR,NR.61",258730680
MEDISOL(PCT.DE LUCRU),INVESTIGATII PARACLINICE-ANALIZE DE LABORATOR,"OCNA MUREȘ, STR.AXENTE SEVER, NR.43A",358401130
